file_name,Barrier,BDE,E12,E13,E14,E15,E16,Q07,Q08,B06,V07,V08,V09,E01,E02,E03,E04,E05,E06,Q01,Q02,Q03,Q04,B01,B02,B03,V01,V02,V03,E17,E18,E19,E20,E21,E22,Q09,Q10,Q11,Q12,B07,B08,B09,V10,V11,V12,E07,E08,E09,E10,E11,Q05,Q06,B04,B05,V04,V05,V06
d,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
meta,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S01-N5-P1,12.5,-7.97,-0.502103,0.530426,0.266994,0.39871,3.796046,0.0082,0.30485,1.0096,0.6977,0.4278,0.2297,-0.296629,0.053721,-0.121454,0.175175,5.708577137,0.042104,-0.2024,-0.05862,0.0916,-0.15022,1.012,0.9222,0.9544,0.5676,0.3419,0.2206,-0.535219,-0.124452,-0.329836,0.205384,4.868928446,0.26485,-0.33523,0.01501,0.09441,-0.0794,0.8762,0.7761,0.9096,0.6974,0.4295,0.2347,-0.203961,0.233793,-0.021717,0.106038,3.913741,-0.0125,0.46551,1.02,1.0825,0.5528,0.3702,0.2515
S02-N5-P1,13.4,-6.91,-0.502103,0.530426,0.266994,0.39871,3.796046,0.0082,0.30485,1.0096,0.6977,0.4278,0.2297,-0.297961,0.053865,-0.122048,0.175913,5.684628197,0.042338,-0.39907,-0.05869,0.10482,-0.16351,0.9773,0.9232,0.9436,0.5064,0.3835,0.3019,-0.535219,-0.124452,-0.329836,0.205384,4.868928446,0.26485,-0.33523,0.01501,0.09441,-0.0794,0.8762,0.7761,0.9096,0.6974,0.4295,0.2347,-0.207037,0.23671,-0.018495,0.109107,3.918419,-0.22999,0.52436,0.9983,1.1108,0.4896,0.3806,0.3007
S03-N5-P1,9.4,-7.65,-0.502103,0.530426,0.266994,0.39871,3.796046,0.0082,0.30485,1.0096,0.6977,0.4278,0.2297,-0.270334,0.06058,-0.104877,0.165457,6.043866382,0.033239,-0.50595,-0.05398,0.12905,-0.18303,1.0234,0.9223,0.9682,0.5302,0.3064,0.1668,-0.535219,-0.124452,-0.329836,0.205384,4.868928446,0.26485,-0.33523,0.01501,0.09441,-0.0794,0.8762,0.7761,0.9096,0.6974,0.4295,0.2347,-0.207737,0.247173,-0.027658,0.109758,3.6386,-0.38848,0.46263,1.0475,1.1563,0.5212,0.3006,0.1612
S06-N5-P1,14.1,-8.82,-0.502103,0.530426,0.266994,0.39871,3.796046,0.0082,0.30485,1.0096,0.6977,0.4278,0.2297,-0.33123,0.014332,-0.158449,0.172781,5.787673413,0.072653,0.43465,-0.01998,0.42762,-0.4476,1.8519,0.9022,1.2634,0.4577,0.2611,0.1409,-0.535219,-0.124452,-0.329836,0.205384,4.868928446,0.26485,-0.33523,0.01501,0.09441,-0.0794,0.8762,0.7761,0.9096,0.6974,0.4295,0.2347,-0.258433,0.302526,-0.010381,0.146072,3.195838,0.50535,0.43431,1.4631,1.8951,0.4396,0.2536,0.1367
S08-N5-P1,12.6,-5.3,-0.502103,0.530426,0.266994,0.39871,3.796046,0.0082,0.30485,1.0096,0.6977,0.4278,0.2297,-0.27365,0.060546,-0.106552,0.167098,5.984512083,0.033972,-0.73652,-0.06582,0.03653,-0.10235,1.0268,0.9322,0.9565,0.4303,0.2597,0.17,-0.535219,-0.124452,-0.329836,0.205384,4.868928446,0.26485,-0.33523,0.01501,0.09441,-0.0794,0.8762,0.7761,0.9096,0.6974,0.4295,0.2347,-0.221677,0.262434,-0.013339,0.124548,3.626171,-0.63043,0.50023,1.0289,1.2037,0.4173,0.2529,0.1669
S09-N3-P1,16.8,-16.33,-0.340135,0.365939,0.097744,0.231841,3.72863,-0.2186,0.37895,1.1102,0.7485,0.5843,0.3812,-0.364592,0.067684,-0.148454,0.216138,4.626673699,0.050983,-0.3876,-0.01161,0.06568,-0.07729,1.0328,0.9283,0.9776,0.5458,0.295,0.178,-0.329433,-0.031954,-0.180694,0.14874,6.723141051,0.109756,-0.61561,0.40236,0.02517,0.37719,0.9862,0.8063,1.0761,0.765,0.5924,0.3838,-0.236075,0.276515,-0.026962,0.124776,3.295143,-0.06894,0.6256,1.0264,1.0776,0.5311,0.2869,0.1741
S09-N3-P2,16.2,-12.55,-0.340135,0.365939,0.097744,0.231841,3.72863,-0.2186,0.37895,1.1102,0.7485,0.5843,0.3812,-0.364592,0.067684,-0.148454,0.216138,4.626673699,0.050983,-0.595,-0.01221,0.03006,-0.04227,1.0328,0.9433,0.9658,0.5618,0.2997,0.1796,-0.329433,-0.031954,-0.180694,0.14874,6.723141051,0.109756,-0.61561,0.40236,0.02517,0.37719,0.9862,0.8063,1.0761,0.765,0.5924,0.3838,-0.255937,0.299243,-0.01758,0.140832,3.156337,-0.26641,0.70837,0.9953,1.0708,0.4032,0.2253,0.1423
S09-N3-P3,17.2,-16.07,-0.340135,0.365939,0.097744,0.231841,3.72863,-0.2186,0.37895,1.1102,0.7485,0.5843,0.3812,-0.364592,0.067684,-0.148454,0.216138,4.626673699,0.050983,-0.38741,-0.01407,0.09304,-0.10711,1.0224,0.9273,0.9745,0.5559,0.2996,0.1795,-0.329433,-0.031954,-0.180694,0.14874,6.723141051,0.109756,-0.61561,0.40236,0.02517,0.37719,0.9862,0.8063,1.0761,0.765,0.5924,0.3838,-0.236155,0.274156,-0.022999,0.125579,3.365247,-0.06455,0.62813,1.0221,1.0641,0.5725,0.3426,0.2012
