file_name,Barrier,BDE,E12,E13,E14,E15,E16,Q07,Q08,B06,V07,V08,V09,E01,E02,E03,E04,E05,E06,Q01,Q02,Q03,Q04,B01,B02,B03,V01,V02,V03,E17,E18,E19,E20,E21,E22,Q09,Q10,Q11,Q12,B07,B08,B09,V10,V11,V12,E07,E08,E09,E10,E11,Q05,Q06,B04,B05,V04,V05,V06
d,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c,c
meta,class,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O1-B2e-H1,12.9,-13.8,-0.302071,0.378225,0.067455,0.22284,3.217814,-0.262,0.40038,1.0573,0.4905,0.3422,0.2183,-0.27364,0.060604,-0.106518,0.167122,5.983652661,0.033946,-0.31249,-0.0447,0.08006,-0.12476,1.026,0.9067,0.9852,0.6556,0.3491,0.1868,-0.300562,0.017067,-0.141748,0.158815,6.296634449,0.063257,-0.71981,0.036,0.02971,0.00629,0.8519,0.772,0.9318,0.5026,0.3495,0.223,-0.20995,0.244832,-0.017972,0.11343,3.805117,-0.129,0.41028,1.0804,1.1188,0.6405,0.3388,0.1815
O6-E1h-H1,10.3,-31.39,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.331486,0.035489,-0.147999,0.183488,5.449947681,0.059687,-0.13959,-0.07127,0.09845,-0.16972,1.0594,0.9084,0.9596,0.4257,0.2119,0.1138,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.232421,0.281072,-0.003747,0.138662,3.511002,0.08249,0.40471,1.0854,1.2922,0.4064,0.2025,0.1084
S2-B1h-H1,16.2,5.92,-0.303311,0.355829,0.092906,0.224367,3.803395,-0.29168,0.60318,0.9586,0.4823,0.4049,0.3234,-0.346593,0.061279,-0.142657,0.203936,4.903499137,0.049896,-0.05775,-0.04845,0.05569,-0.10414,1.0117,0.9317,0.9603,0.4934,0.2559,0.1348,-0.296252,0.044579,-0.125837,0.170416,5.867993616,0.046459,-0.49229,0.49248,0.06897,0.42351,0.9241,0.9615,0.8867,0.5032,0.4125,0.3268,-0.225642,0.272008,-0.04808,0.111964,3.124141,0.13082,0.54192,1.0013,1.0454,0.4755,0.2473,0.1298
O3-B1h-H3,8.7,-8.35,-0.175527,0.239348,-0.085959,0.076694,3.074019,-0.88953,0.37,0.9197,0.3688,0.2221,0.1143,-0.346593,0.061279,-0.142657,0.203936,4.903499137,0.049896,-0.60167,0.00243,0.06573,-0.0633,1.0299,0.9418,0.9642,0.5066,0.2574,0.1346,-0.150706,0.215322,0.032308,0.183014,5.464062859,0.002852,-1.02677,0.15247,0.08305,0.06942,0.7089,0.7719,0.6458,0.379,0.2324,0.1195,-0.265635,0.312796,-0.010273,0.151261,3.095314,-0.26978,0.70839,0.9948,1.0699,0.4028,0.2222,0.1289
N3-F1n-H1,12.1,-30.42,-0.340135,0.365939,0.097744,0.231841,3.72863,-0.2186,0.37895,1.1102,0.7485,0.5843,0.3812,-0.279776,0.021078,-0.129349,0.150427,6.647742759,0.055612,-0.05983,-0.05464,-0.00776,-0.04688,1.0051,0.8987,0.97,0.7396,0.4788,0.2856,-0.329433,-0.031954,-0.180694,0.14874,6.723141051,0.109756,-0.61561,0.40236,0.02517,0.37719,0.9862,0.8063,1.0761,0.765,0.5924,0.3838,-0.188836,0.214665,0.00926,0.111963,4.868431,0.22042,0.30338,1.1185,1.2196,0.7155,0.4715,0.2821
N2-B1f-H1,15.2,-7.79,-0.332784,0.385292,0.081083,0.233188,3.287214,-0.41608,0.45619,0.9527,0.5424,0.3518,0.2205,-0.330104,0.070541,-0.129782,0.200323,4.99193802,0.04204,-0.05488,-0.08961,0.11304,-0.20265,1.0171,0.9307,0.9555,0.5483,0.3159,0.1672,-0.326521,-0.019918,-0.17322,0.153302,6.523072106,0.097863,-0.85825,0.16782,0.01145,0.15637,0.8745,0.8097,0.907,0.5678,0.3595,0.2239,-0.221011,0.260456,-0.039351,0.110552,3.335479,0.12744,0.53373,0.9978,1.0481,0.5307,0.3077,0.1625
O6-B1c-H2,11,-16.89,-0.337229,0.437064,0.109588,0.273326,3.053659,-0.37776,0.29842,1.3896,0.3735,0.2323,0.1573,-0.301675,0.06273,-0.119473,0.182203,5.488383836,0.03917,-0.40976,0.03556,0.11996,-0.0844,1.0304,0.9306,0.9744,0.5373,0.2755,0.1412,-0.322334,-0.028351,-0.175343,0.146992,6.803091325,0.104581,-0.68241,0.02108,0.04305,-0.02197,0.888,0.7369,1.039,0.3977,0.2454,0.1647,-0.243075,0.28692,-0.022396,0.132262,3.23294,-0.0942,0.61545,1.0221,1.0762,0.5236,0.2664,0.1367
S6-B2e-H1,16.4,6.31,-0.298044,0.37112,0.073462,0.222291,3.35956,0.1213,0.65845,1.0312,0.3765,0.2389,0.163,-0.27364,0.060604,-0.106518,0.167122,5.983652661,0.033946,-0.31249,-0.0447,0.08006,-0.12476,1.026,0.9067,0.9852,0.6556,0.3491,0.1868,-0.290571,0.006854,-0.141859,0.148713,6.72436169,0.06766,-0.04479,0.40222,0.15459,0.24763,0.9871,0.9717,1.0024,0.4004,0.2488,0.1677,-0.20995,0.244832,-0.017972,0.11343,3.805117,-0.129,0.41028,1.0804,1.1188,0.6405,0.3388,0.1815
