file_name,Barrier,radical_reactant,radical_product,substrate_reactant,substrate_product
O1-B2e-H1,12.9,CC(C)([O])c1ccccc1,CC(C)(O)c1ccccc1,CSC(C)C,CS[C](C)C
O6-E1h-H1,10.3,[O]C(=O)c1ccccc1,O=C(O)c1ccccc1,C#CCO,C#C[CH]O
S2-B1h-H1,16.2,CC(C)[Si]([S])(C(C)C)C(C)C,CC(C)[Si](S)(C(C)C)C(C)C,CCCO,CC[CH]O
O3-B1h-H3,8.7,[O-]P([O])(=O)O,[O-]P(=O)(O)O,CCCO,[CH2]CCO
N3-F1n-H1,12.1,CC(C)(C)[N]C(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,CC(C)(C)NC(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,C[C@H](c1ccccc1)N(C)C,C[C](c1ccccc1)N(C)C
N2-B1f-H1,15.2,C[N]S(=O)(=O)c1ccccc1,CNS(=O)(=O)c1ccccc1,CCCOC,CC[CH]OC
O6-B1c-H2,11,[O]C(=O)c1ccccc1,O=C(O)c1ccccc1,CCCN,C[CH]CN
S6-B2e-H1,16.4,[S]Cc1ccccc1,SCc1ccccc1,CSC(C)C,CS[C](C)C
S3-J1j-H1,16.2,FC(F)(F)C[S],FC(F)(F)CS,O=Cc1ccc(Cl)cc1,O=[C]c1ccc(Cl)cc1
S6-E1f-H1,16.6,[S]Cc1ccccc1,SCc1ccccc1,C#CCOC,C#C[CH]OC
S1-C1d-H1,21.4,COC(=O)C[S],COC(=O)CS,C=CC[N+](=O)[O-],C=C[CH][N+](=O)[O-]
S4-B2d-H1,21.4,CC(C)[S],CC(C)S,CC(C)[N+](=O)[O-],C[C](C)[N+](=O)[O-]
S6-B1j-H2,23.4,[S]Cc1ccccc1,SCc1ccccc1,CCCCl,C[CH]CCl
O6-B2a-H1,10.3,[O]C(=O)c1ccccc1,O=C(O)c1ccccc1,CC(C)C,C[C](C)C
O2-C1b-H1,25.7,[O]N1C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)N1O,C=CCC#N,C=C[CH]C#N
O3-D1e-H1,10.7,[O-]P([O])(=O)O,[O-]P(=O)(O)O,C=C[C@@H](C)SC,C=C[C](C)SC
O4-J1l-H1,14,CC(C)(C)[O],CC(C)(C)O,CC(=O)c1ccc(C=O)cc1,CC(=O)c1ccc([C]=O)cc1
S1-I1c-H1,12.2,COC(=O)C[S],COC(=O)CS,NCC=O,NC[C]=O
S2-F1c-H1,9.4,CC(C)[Si]([S])(C(C)C)C(C)C,CC(C)[Si](S)(C(C)C)C(C)C,C[C@@H](N)c1ccccc1,C[C](N)c1ccccc1
O3-B1m-H2,12.1,[O-]P([O])(=O)O,[O-]P(=O)(O)O,CCCC(C)(C)C,C[CH]CC(C)(C)C
N1-C1h-H1,15.6,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,C=CCO,[CH2]/C=C\O
S5-I1c-H1,13.3,CC(C)(C)[S],CC(C)(C)S,NCC=O,NC[C]=O
S6-H1j-H1,19.6,[S]Cc1ccccc1,SCc1ccccc1,C[C@@H](Cl)c1ccccc1,C[C](Cl)c1ccccc1
S6-F1j-H1,19.8,[S]Cc1ccccc1,SCc1ccccc1,C#C[C@@H](C)Cl,C#C[C](C)Cl
S5-I1m-H1,14.4,CC(C)(C)[S],CC(C)(C)S,CC(C)(C)CC=O,CC(C)(C)C[C]=O
N3-B1j-H3,16.9,CC(C)(C)[N]C(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,CC(C)(C)NC(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,CCCCl,[CH2]CCCl
S1-B2d-H1,22.6,COC(=O)C[S],COC(=O)CS,CC(C)[N+](=O)[O-],C[C](C)[N+](=O)[O-]
S2-B2d-H2,27,CC(C)[Si]([S])(C(C)C)C(C)C,CC(C)[Si](S)(C(C)C)C(C)C,CC(C)[N+](=O)[O-],[CH2][C@@H](C)[N+](=O)[O-]
O5-E1e-H1,11.1,[O-]S([O])(=O)=O,[O-]S(=O)(=O)O,C#CCSC,C#C[CH]SC
O1-J1j-H1,14.1,CC(C)([O])c1ccccc1,CC(C)(O)c1ccccc1,O=Cc1ccc(Cl)cc1,O=[C]c1ccc(Cl)cc1
O3-E1a-H1,11.7,[O-]P([O])(=O)O,[O-]P(=O)(O)O,C#CCC,C#C[CH]C
O6-F1j-H1,14.9,[O]C(=O)c1ccccc1,O=C(O)c1ccccc1,C#C[C@@H](C)Cl,C#C[C](C)Cl
S6-D1j-H1,18.7,[S]Cc1ccccc1,SCc1ccccc1,C=C[C@@H](C)Cl,C=C[C](C)Cl
S2-C1b-H1,18.6,CC(C)[Si]([S])(C(C)C)C(C)C,CC(C)[Si](S)(C(C)C)C(C)C,C=CCC#N,C=C[CH]C#N
S4-H1h-H1,15.4,CC(C)[S],CC(C)S,C#C[C@H](C)O,C#C[C](C)O
O4-A1c-H1,12.8,CC(C)(C)[O],CC(C)(C)O,CN,[CH2]N
N2-D1h-H1,14.6,C[N]S(=O)(=O)c1ccccc1,CNS(=O)(=O)c1ccccc1,C=C[C@@H](C)O,[CH2]/C=C(\C)O
N1-H1e-H1,15.1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,C#C[C@H](C)SC,C#C[C](C)SC
S4-E1f-H1,16.2,CC(C)[S],CC(C)S,C#CCOC,C#C[CH]OC
S5-B2k-H1,24.7,CC(C)(C)[S],CC(C)(C)S,CC(C)C(F)(F)F,C[C](C)C(F)(F)F
S5-SI1-H1,14,CC(C)(C)[S],CC(C)(C)S,CC=O,C[C]=O
N3-A1d-H1,20.9,CC(C)(C)[N]C(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,CC(C)(C)NC(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,C[N+](=O)[O-],[CH2][N+](=O)[O-]
O1-E1m-H1,15.8,CC(C)([O])c1ccccc1,CC(C)(O)c1ccccc1,C#CCC(C)(C)C,C#C[CH]C(C)(C)C
S3-I1f-H1,13.4,FC(F)(F)C[S],FC(F)(F)CS,COCC=O,COC[C]=O
S4-H1l-H1,16.1,CC(C)[S],CC(C)S,CC(=O)[C@@H](C)c1ccccc1,C[C](C(C)=O)c1ccccc1
S2-J1j-H1,16.7,CC(C)[Si]([S])(C(C)C)C(C)C,CC(C)[Si](S)(C(C)C)C(C)C,O=Cc1ccc(Cl)cc1,O=[C]c1ccc(Cl)cc1
S2-H1j-H1,18.7,CC(C)[Si]([S])(C(C)C)C(C)C,CC(C)[Si](S)(C(C)C)C(C)C,C[C@@H](Cl)c1ccccc1,C[C](Cl)c1ccccc1
O4-D1e-H1,13.7,CC(C)(C)[O],CC(C)(C)O,C=C[C@@H](C)SC,C=C[C](C)SC
S4-D1l-H1,15.3,CC(C)[S],CC(C)S,C=C[C@@H](C)C(C)=O,C=C[C](C)C(C)=O
N3-SI1-H1,11.6,CC(C)(C)[N]C(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,CC(C)(C)NC(=O)c1c(C(F)(F)F)cccc1C(F)(F)F,CC=O,C[C]=O
O1-G1d-H1,19.6,CC(C)([O])c1ccccc1,CC(C)(O)c1ccccc1,O=[N+]([O-])Cc1ccccc1,O=[N+]([O-])[CH]c1ccccc1
O1-B1e-H1,13.9,CC(C)([O])c1ccccc1,CC(C)(O)c1ccccc1,CCCSC,CC[CH]SC
O2-F1n-H1,16.8,[O]N1C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)N1O,C[C@H](c1ccccc1)N(C)C,C[C](c1ccccc1)N(C)C
S5-B1l-H3,24.9,CC(C)(C)[S],CC(C)(C)S,CCCC(C)=O,[CH2]CCC(C)=O
N4-H1j-H1,17.3,C[N]C(=O)c1ccccc1,CNC(=O)c1ccccc1,C[C@@H](Cl)c1ccccc1,C[C](Cl)c1ccccc1
S6-I1f-H1,15.5,[S]Cc1ccccc1,SCc1ccccc1,COCC=O,COC[C]=O
O4-B2a-H2,17.2,CC(C)(C)[O],CC(C)(C)O,CC(C)C,[CH2]C(C)C
O1-C1d-H1,17.8,CC(C)([O])c1ccccc1,CC(C)(O)c1ccccc1,C=CC[N+](=O)[O-],C=C[CH][N+](=O)[O-]
S1-G1g-H1,16.7,COC(=O)C[S],COC(=O)CS,COC(OC)c1ccccc1,CO[C](OC)c1ccccc1
O5-D1n-H1,5.2,[O-]S([O])(=O)=O,[O-]S(=O)(=O)O,C=C[C@@H](C)N(C)C,C=C[C](C)N(C)C
S4-I1h-H1,15,CC(C)[S],CC(C)S,O=CCO,O=[C]CO
N4-B1d-H2,18.9,C[N]C(=O)c1ccccc1,CNC(=O)c1ccccc1,CCC[N+](=O)[O-],C[CH]C[N+](=O)[O-]
N1-I1j-H1,18.1,CC(=O)[N]c1c(F)c(F)c(C(F)(F)F)c(F)c1F,CC(=O)Nc1c(F)c(F)c(C(F)(F)F)c(F)c1F,O=CCCl,O=[C]CCl
O5-I1c-H1,6,[O-]S([O])(=O)=O,[O-]S(=O)(=O)O,NCC=O,NC[C]=O
S5-H1d-H1,21.1,CC(C)(C)[S],CC(C)(C)S,C#C[C@H](C)[N+](=O)[O-],C#C[C](C)[N+](=O)[O-]
O2-H1n-H1,19,[O]N1C(=O)c2ccccc2C1=O,O=C1c2ccccc2C(=O)N1O,C#C[C@@H](C)N(C)C,C#C[C](C)N(C)C
O5-D1m-H1,12,[O-]S([O])(=O)=O,[O-]S(=O)(=O)O,C=C[C@@H](C)C(C)(C)C,C=C[C](C)C(C)(C)C
S1-D1h-H1,10.2,COC(=O)C[S],COC(=O)CS,C=C[C@@H](C)O,[CH2]/C=C(\C)O
N2-E1m-H1,18,C[N]S(=O)(=O)c1ccccc1,CNS(=O)(=O)c1ccccc1,C#CCC(C)(C)C,C#C[CH]C(C)(C)C
O1-B1d-H1,19.9,CC(C)([O])c1ccccc1,CC(C)(O)c1ccccc1,CCC[N+](=O)[O-],CC[CH][N+](=O)[O-]
S3-B1f-H1,15.1,FC(F)(F)C[S],FC(F)(F)CS,CCCOC,CC[CH]OC
S6-B2c-H1,11.8,[S]Cc1ccccc1,SCc1ccccc1,CC(C)N,C[C](C)N
N5-I1b-H1,18.1,C1C[N+]2CCC1CC2,C1C[NH+]2CCC1CC2,N#CCC=O,N#CC[C]=O
N2-G1n-H1,9.1,C[N]S(=O)(=O)c1ccccc1,CNS(=O)(=O)c1ccccc1,CN(C)Cc1ccccc1,CN(C)[CH]c1ccccc1
